datetime,open,high,low,close,vol
2025-12-19 08:00:00,85458.3,85567.8,85247.1,85567.7,167166.91
2025-12-19 07:00:00,85533.4,85578.8,85260.2,85458.2,156205.41
2025-12-19 06:00:00,85577.5,85701.4,85230,85533.5,183749.91
2025-12-19 05:00:00,84533.5,85818,84511.6,85577.5,537119.46
2025-12-19 04:00:00,84433,85230.3,84401.9,84533.5,467093.81
2025-12-19 03:00:00,85944.6,85987.6,84407.7,84433.1,1072355.5
2025-12-19 02:00:00,86438.6,86843.6,85671.9,85944.7,549949.51
2025-12-19 01:00:00,87980,88000.2,85420.5,86438.6,1829789.42
2025-12-19 00:00:00,88479.6,88500,87800,87979.9,469819.16
2025-12-18 23:00:00,88300,89340.9,87919.7,88479.7,961529.35
2025-12-18 22:00:00,88800.1,89468.8,87659.8,88299.9,1444322.66
2025-12-18 21:00:00,87224.6,89171.2,87224.6,88800,1357444.03
2025-12-18 20:00:00,87237.1,87400,87081.5,87224.7,184237.7
2025-12-18 19:00:00,87307.3,87323.1,87020.7,87237.1,151957
2025-12-18 18:00:00,87236.8,87417.9,87159.8,87307.2,148303.58
2025-12-18 17:00:00,86926.4,87367.4,86750.4,87236.8,247151.74
2025-12-18 16:00:00,86790.6,87100,86637.3,86926.4,268694.71
2025-12-18 15:00:00,86607.9,86827.9,86542.4,86790.6,140672.28
2025-12-18 14:00:00,86400.1,86623.9,86359.9,86607.9,99169.91
2025-12-18 13:00:00,86710,86724,86335.9,86400,131664.76
2025-12-18 12:00:00,86578,86860.3,86560,86710,206905.65
2025-12-18 11:00:00,86643.1,86649.6,86203.3,86578,236443.28
2025-12-18 10:00:00,86083,86836.9,85968,86643.1,294897.23
2025-12-18 09:00:00,86193.1,86213.7,85816.6,86083,162879.16
2025-12-18 08:00:00,86201.6,86281.2,86013.9,86193.1,119711.88
2025-12-18 07:00:00,86299.9,86307.4,85911.7,86201.5,138417.01
2025-12-18 06:00:00,85941.6,86398.7,85840,86300,143596.47
2025-12-18 05:00:00,85843.3,86008.1,85655.8,85941.4,118490.62
2025-12-18 04:00:00,85976.7,86219.3,85616.6,85843.2,302338.91
2025-12-18 03:00:00,85790.6,86139.6,85282.1,85976.7,441938.16
2025-12-18 02:00:00,86375.3,86802.4,85610,85790.5,424487.66
2025-12-18 01:00:00,86947.4,87062.5,86220,86375.2,388350.77
2025-12-18 00:00:00,87192.9,87776.3,86111.2,86947.4,1352016.76
2025-12-17 23:00:00,89641.9,90350,87101,87192.8,2315318.82
2025-12-17 22:00:00,87583.6,89670.6,87130,89642,1595264.71
2025-12-17 21:00:00,86980.2,87836.3,86775,87583.5,465623.74
2025-12-17 20:00:00,86932.9,87177,86766.2,86980.3,261250.02
2025-12-17 19:00:00,86579,87098.2,86519.2,86932.9,191252.61
2025-12-17 18:00:00,86374.8,86789,86186,86579,213763.39
2025-12-17 17:00:00,86355,86577.9,86207.3,86374.7,212678.49
2025-12-17 16:00:00,87003.6,87003.7,86260,86354.9,245018.9
2025-12-17 15:00:00,86735.5,87114.1,86545.7,87003.7,214679.06
2025-12-17 14:00:00,86587.3,86963.6,86540,86735.5,239960.58
2025-12-17 13:00:00,86711,86719.2,86137.8,86587.3,403474.53
2025-12-17 12:00:00,87175.1,87347.4,86673.5,86711,226429.05
2025-12-17 11:00:00,87440,87568,87106.6,87175.1,124814.36
2025-12-17 10:00:00,87516.3,87555,87137.7,87440,171871.8
2025-12-17 09:00:00,87495.1,87917.5,87438,87516.2,188247.03
2025-12-17 08:00:00,87825.8,87828,87381.5,87495,141694.64
2025-12-17 07:00:00,87754.6,87829.6,87555,87825.7,106210.63
2025-12-17 06:00:00,87716.6,87900,87599.8,87754.6,93053.01
2025-12-17 05:00:00,87528.4,87868.4,87454.3,87717.3,87574.04
2025-12-17 04:00:00,87542.3,87800,87300,87528.4,122926.14
2025-12-17 03:00:00,87750.5,87762.8,87234,87542.3,168170.07
2025-12-17 02:00:00,87085.7,87984,87014.2,87750.5,325422.49
2025-12-17 01:00:00,87545.8,87813.9,87052.8,87085.6,279219.37
2025-12-17 00:00:00,87941.5,88026.7,87352.6,87545.7,480752.69
2025-12-16 23:00:00,87260,88146.6,86800,87941.5,806667.18
2025-12-16 22:00:00,86414,87734.6,86045.3,87259.9,902269.65
2025-12-16 21:00:00,87160.9,87771.6,86378.3,86414,878943.19
2025-12-16 20:00:00,87209.8,87438.8,87028.3,87161,213823.61
2025-12-16 19:00:00,86936,87290,86762.8,87209.8,269008.01
2025-12-16 18:00:00,86306.2,87300,86231,86935.9,461687.63
2025-12-16 17:00:00,86235.6,86386,86150,86306.2,121100.68
2025-12-16 16:00:00,85966.6,86344,85882,86235.7,169301.59
2025-12-16 15:00:00,86456,86563.7,85805.3,85966.7,303955.66
2025-12-16 14:00:00,85985.1,86580.9,85985.1,86456.1,237483.5
2025-12-16 13:00:00,85794.3,86157.9,85762.6,85985.1,218535.1
2025-12-16 12:00:00,85829.2,85879,85223.2,85794.4,226614.92
2025-12-16 11:00:00,85895.1,85974.3,85333,85829.1,277741.23
2025-12-16 10:00:00,85844.8,86185.4,85751.9,85895.1,172090.37
2025-12-16 09:00:00,85820,86126.4,85613.5,85844.9,252592.98
2025-12-16 08:00:00,86391,86476.6,85788.9,85819.9,215259.97
2025-12-16 07:00:00,86229.7,86431.3,86078.6,86390.9,211194.1
2025-12-16 06:00:00,86197.6,86229.8,85782,86229.7,135270.73
2025-12-16 05:00:00,85748.3,86270,85469.9,86196.7,205861.04
2025-12-16 04:00:00,86096.3,86148.6,85560,85748.2,265256.53
2025-12-16 03:00:00,86135.5,86515,85814.2,86096.4,405454.64
2025-12-16 02:00:00,85722.5,86222,85088.3,86135.5,600213.42
2025-12-16 01:00:00,86350.4,86450,85531.9,85722.6,575424.67
