datetime,open,high,low,close,vol
2025-08-07 08:00:00,3680.97,3681,3662,3672.65,686214.35
2025-08-07 07:00:00,3680.79,3684.63,3671.98,3680.97,406461.55
2025-08-07 06:00:00,3668.53,3681.27,3664.03,3680.79,508170.74
2025-08-07 05:00:00,3672.57,3683.67,3650.42,3668.54,757147.02
2025-08-07 04:00:00,3682.01,3682.01,3665.14,3672.56,397213.84
2025-08-07 03:00:00,3675.5,3684.83,3667.13,3682.02,619927.19
2025-08-07 02:00:00,3680.4,3697.92,3671.33,3675.49,1406467.98
2025-08-07 01:00:00,3643.49,3683.95,3636.85,3680.41,1279503.28
2025-08-07 00:00:00,3662.64,3673.02,3638.81,3643.49,1910116.08
2025-08-06 23:00:00,3635.63,3667.97,3618.23,3662.64,2231438.82
2025-08-06 22:00:00,3601,3635.63,3585.84,3635.63,2683114.74
2025-08-06 21:00:00,3583.43,3603.84,3571,3601,2028766.01
2025-08-06 20:00:00,3618.59,3622.52,3577,3583.43,2210186.06
2025-08-06 19:00:00,3615.57,3629.97,3608.12,3618.59,622351.04
2025-08-06 18:00:00,3626.18,3632.58,3610.3,3615.57,1035850.64
2025-08-06 17:00:00,3621.08,3644.21,3615.12,3626.18,1134601.48
2025-08-06 16:00:00,3638.51,3641.84,3608.02,3621.09,1333271.54
2025-08-06 15:00:00,3630.93,3646.88,3622.72,3638.52,930222
2025-08-06 14:00:00,3637.37,3643,3615.79,3630.93,1535874.34
2025-08-06 13:00:00,3572.29,3661.73,3568.1,3637.36,3778440.52
2025-08-06 12:00:00,3582.18,3583.71,3568.4,3572.28,524369.43
2025-08-06 11:00:00,3591.17,3593.4,3570.64,3582.19,667582.63
2025-08-06 10:00:00,3590.9,3595,3573.1,3591.16,704021.53
2025-08-06 09:00:00,3575.51,3592.73,3562.41,3590.91,1253099.56
2025-08-06 08:00:00,3610.3,3612.49,3569.99,3575.5,1414277.63
2025-08-06 07:00:00,3595.36,3624,3592,3610.29,1145722.36
2025-08-06 06:00:00,3574.07,3598.72,3543,3595.5,1413508.99
2025-08-06 05:00:00,3575.33,3589.45,3567.77,3574.08,421854.89
2025-08-06 04:00:00,3570.35,3596.32,3570.34,3575.33,750083.73
2025-08-06 03:00:00,3586.38,3592.88,3557.57,3570.35,864458.04
2025-08-06 02:00:00,3603.85,3611.7,3565.23,3586.38,1105424.42
2025-08-06 01:00:00,3576.03,3607.73,3574.82,3603.84,1246737.78
2025-08-06 00:00:00,3569.29,3593.14,3561.25,3576.03,1924765.06
2025-08-05 23:00:00,3577.24,3597,3555.07,3569.3,2964111.62
2025-08-05 22:00:00,3645.31,3646.22,3558,3577.24,6286470.28
2025-08-05 21:00:00,3627.06,3658.02,3617,3645.45,2261524.34
2025-08-05 20:00:00,3672.3,3679.83,3606.97,3627.07,3269215.61
